Title,Artist,Album,Genre,Length
Love The Way You Lie,Eminem,Recovery,Detroit Hip Hop,263
TiK ToK,Kesha,Animal,Dance Pop,200
Bad Romance,Lady Gaga,The Fame Monster,Dance Pop,295
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,Pop,221
Baby,Justin Bieber,My World 2.0,Canadian Pop,214
Dynamite,Taio Cruz,Single,Dance Pop,203
Secrets,OneRepublic,Waking Up,Dance Pop,225
Empire State of Mind (Part II) Broken Down,Alicia Keys,The Element of Freedom,Hip Pop,216
Only Girl (In The World),Rihanna,Loud,Barbadian Pop,235
Club Can't Handle Me (feat. David Guetta),Flo Rida,Non-album single,Dance Pop,235
Marry You,Bruno Mars,Doo-Wops & Hooligans,Pop,230
Cooler Than Me - Single Mix,Mike Posner,31 Minutes to Takeoff,Dance Pop,213
Telephone,Lady Gaga,The Fame Monster,Dance Pop,221
Like A G6,Far East Movement,Free Wired,Dance Pop,217
OMG (feat. will.i.am),Usher,Raymond v. Raymond,Atl Hip Hop,269
Eenie Meenie,Sean Kingston,My World 2.0,Dance Pop,202
The Time (Dirty Bit),The Black Eyed Peas,The Beginning,Dance Pop,308
Alejandro,Lady Gaga,The Fame Monster,Dance Pop,274
Your Love Is My Drug,Kesha,Animal,Dance Pop,187
Meet Me Halfway,The Black Eyed Peas,The E.N.D.,Dance Pop,284
Whataya Want from Me,Adam Lambert,For Your Entertainment,Australian Pop,227
Rolling in the Deep,Adele,21,Soul,228
Someone Like You,Adele,21,Soul,285
Firework,Katy Perry,Teenage Dream,Dance Pop,224
Grenade,Bruno Mars,Doo-Wops & Hooligans,Pop,223
Price Tag,Jessie J,Who You Are,Pop,221
We Found Love,Rihanna,Loud,Barbadian Pop,223
Super Bass,Nicki Minaj,Pink Friday,Pop,199
Countdown,Beyoncé,4,R&B,212
Moves Like Jagger,Maroon 5,Hands All Over,Pop,201
Stereo Hearts,Gym Class Heroes,The Papercut Chronicles II,Pop,210
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger,Pop,220
Somebody That I Used to Know,Gotye,Making Mirrors,Indie Pop,244
Call Me Maybe,Carly Rae Jepsen,Kiss,Pop,193
Wide Awake,Katy Perry,Katy Perry's Prism,Pop,228
Diamonds,Rihanna,Unapologetic,Pop,229
Ho Hey,The Lumineers,The Lumineers,Folk Rock,163
Blurred Lines,Robin Thicke,Blurred Lines,R&B,236
Roar,Katy Perry,Prism,Pop,224
Wrecking Ball,Miley Cyrus,Bangerz,Pop,231
Happy,Pharrell Williams,G I R L,Funk,233
All About That Bass,Meghan Trainor,Title,Pop,187
Shake It Off,Taylor Swift,1989,Pop,219
Uptown Funk,Mark Ronson,Uptown Special,Funk,270
Thinking Out Loud,Ed Sheeran,X,Pop,281
Can't Stop the Feeling!,Justin Timberlake,Trolls: Original Motion Picture Soundtrack,Pop,236
Despacito (Remix),Luis Fonsi & Daddy Yankee ft. Justin Bieber,Single,Reggaeton,228
Shape of You,Ed Sheeran,÷,Pop,234
Havana,Camila Cabello ft. Young Thug,Camila,Pop,217
Perfect,Ed Sheeran,÷,Pop,263